"scenario","year","variable","value","units"
"ssp126",1936,"Tgav",0.286207567899421,"degC"
"ssp126",1937,"Tgav",0.288799560705514,"degC"
"ssp126",1938,"Tgav",0.292858970364679,"degC"
"ssp126",1939,"Tgav",0.295609016052349,"degC"
"ssp126",1940,"Tgav",0.297994430718301,"degC"
"ssp126",1941,"Tgav",0.300878735860811,"degC"
"ssp126",1942,"Tgav",0.301609338431612,"degC"
"ssp126",1943,"Tgav",0.302666336513157,"degC"
"ssp126",1944,"Tgav",0.30769087247283,"degC"
"ssp126",1945,"Tgav",0.318111955661879,"degC"
"ssp126",1946,"Tgav",0.328972752484812,"degC"
"ssp126",1947,"Tgav",0.334137897141224,"degC"
"ssp126",1948,"Tgav",0.337985586895313,"degC"
"ssp126",1949,"Tgav",0.342713167132939,"degC"
"ssp126",1950,"Tgav",0.344827195432693,"degC"
"ssp126",1951,"Tgav",0.347627647819339,"degC"
"ssp126",1952,"Tgav",0.351048666485208,"degC"
"ssp126",1953,"Tgav",0.354894657867092,"degC"
"ssp126",1954,"Tgav",0.361041422157275,"degC"
"ssp126",1955,"Tgav",0.367509715579614,"degC"
"ssp126",1956,"Tgav",0.373781916046655,"degC"
"ssp126",1957,"Tgav",0.38081436461706,"degC"
"ssp126",1958,"Tgav",0.390306664453017,"degC"
"ssp126",1959,"Tgav",0.399022696688795,"degC"
"ssp126",1960,"Tgav",0.401086123354408,"degC"
"ssp126",1961,"Tgav",0.389756555292747,"degC"
"ssp126",1962,"Tgav",0.376891236204645,"degC"
"ssp126",1963,"Tgav",0.327068737716739,"degC"
"ssp126",1964,"Tgav",0.257506832436133,"degC"
"ssp126",1965,"Tgav",0.233704103450774,"degC"
"ssp126",1966,"Tgav",0.254564213366453,"degC"
"ssp126",1967,"Tgav",0.286696611458364,"degC"
"ssp126",1968,"Tgav",0.294409596612496,"degC"
"ssp126",1969,"Tgav",0.293595640143591,"degC"
"ssp126",1970,"Tgav",0.314738336973717,"degC"
"ssp126",1971,"Tgav",0.35182392896324,"degC"
"ssp126",1972,"Tgav",0.386252081632022,"degC"
"ssp126",1973,"Tgav",0.410477532453223,"degC"
"ssp126",1974,"Tgav",0.421138790462671,"degC"
"ssp126",1975,"Tgav",0.426202486132393,"degC"
"ssp126",1976,"Tgav",0.443136916163962,"degC"
"ssp126",1977,"Tgav",0.47541319290107,"degC"
"ssp126",1978,"Tgav",0.504516520021214,"degC"
"ssp126",1979,"Tgav",0.529043313134517,"degC"
"ssp126",1980,"Tgav",0.556889665370549,"degC"
"ssp126",1981,"Tgav",0.5795293739467,"degC"
"ssp126",1982,"Tgav",0.543632011182236,"degC"
"ssp126",1983,"Tgav",0.494516172173302,"degC"
"ssp126",1984,"Tgav",0.510910819768454,"degC"
"ssp126",1985,"Tgav",0.559238014204943,"degC"
"ssp126",1986,"Tgav",0.606632325915374,"degC"
"ssp126",1987,"Tgav",0.647966574380365,"degC"
"ssp126",1988,"Tgav",0.688464127949688,"degC"
"ssp126",1989,"Tgav",0.726874087026284,"degC"
"ssp126",1990,"Tgav",0.761473113810311,"degC"
"ssp126",1991,"Tgav",0.70986366460367,"degC"
"ssp126",1992,"Tgav",0.621683527877757,"degC"
"ssp126",1993,"Tgav",0.624217097066584,"degC"
